movieId,title,genres,published
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,02/08/2017 16:24
2,Jumanji (1995),Adventure|Children|Fantasy,02/08/2017 16:24
3,Grumpier Old Men (1995),Comedy|Romance,02/08/2017 16:24
4,Waiting to Exhale (1995),Comedy|Drama|Romance,02/08/2017 16:24
5,Father of the Bride Part II (1995),Comedy,0000/0/0 00:00
6,Heat (1995),Action|Crime|Thriller,02/08/2017 16:24
7,Sabrina (1995),Comedy|Romance,02/08/2017 16:24
8,Tom and Huck (1995),Adventure|Children,02/08/2017 16:24
9,Sudden Death (1995),Action,02/08/2017 16:24
10,GoldenEye (1995),Action|Adventure|Thriller,02/08/2017 16:24
11,"American President, The (1995)",Comedy|Drama|Romance,02/08/2017 16:24
12,Dracula: Dead and Loving It (1995),Comedy|Horror,02/08/2017 16:24
13,Balto (1995),Adventure|Animation|Children,02/08/2017 16:24
14,Nixon (1995),Drama,02/08/2017 16:24
15,Cutthroat Island (1995),Action|Adventure|Romance,02/08/2017 16:24
16,Casino (1995),Crime|Drama,02/08/2017 16:24
17,Sense and Sensibility (1995),Drama|Romance,02/08/2017 16:24
18,Four Rooms (1995),Comedy,02/08/2017 16:24
19,Ace Ventura: When Nature Calls (1995),Comedy,02/08/2017 16:24
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,02/08/2017 16:24
21,Get Shorty (1995),Comedy|Crime|Thriller,02/08/2017 16:24
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,02/08/2017 16:24
23,Assassins (1995),Action|Crime|Thriller,02/08/2017 16:24
24,Powder (1995),Drama|Sci-Fi,02/08/2017 16:24
25,Leaving Las Vegas (1995),Drama|Romance,02/08/2017 16:24
26,Othello (1995),Drama,02/08/2017 16:24
27,Now and Then (1995),Children|Drama,02/08/2017 16:24
28,Persuasion (1995),Drama|Romance,02/08/2017 16:24
29,"City of Lost Children, The (Cit̩ des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,02/08/2017 16:24
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,02/08/2017 16:24
31,Dangerous Minds (1995),Drama,02/08/2017 16:24
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,02/08/2017 16:24
34,Babe (1995),Children|Drama,02/08/2017 16:24
35,Carrington (1995),Drama|Romance,02/08/2017 16:24
36,Dead Man Walking (1995),Crime|Drama,02/08/2017 16:24
37,Across the Sea of Time (1995),Documentary|IMAX,02/08/2017 16:24
38,It Takes Two (1995),Children|Comedy,02/08/2017 16:24
39,Clueless (1995),Comedy|Romance,02/08/2017 16:24
40,"Cry, the Beloved Country (1995)",Drama,02/08/2017 16:24
41,Richard III (1995),Drama|War,02/08/2017 16:24
42,Dead Presidents (1995),Action|Crime|Drama,02/08/2017 16:24
43,Restoration (1995),Drama,02/08/2017 16:24
